# RUTA1 — Plaza Tigo Torre 3 → UMG Antigua Jocotenango
# CIUDAD|id|nombre|lat|lon|alt|tipo|d0,d1,d2,d3,d4
# RUTA|idOrigen|idDestino|distancia|tiempoBase|velocidadMaxima|m0,m1,m2,m3,m4

CIUDAD|1|Plaza Tigo Torre 3|14.573448|-90.481757|1500.0|inicio|0.0,0.8,0.3,1.0,0.2
CIUDAD|2|Carretera a El Salvador, Santa Catarina Pinula #2|14.574924|-90.480777|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|3|Carretera a El Salvador, Santa Catarina Pinula #3|14.575178|-90.480703|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|4|Carretera a El Salvador, Santa Catarina Pinula #4|14.572598|-90.482323|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|5|Carretera a El Salvador, Santa Catarina Pinula #5|14.571533|-90.482591|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|6|Carretera a El Salvador, Santa Catarina Pinula #6|14.571099|-90.483182|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|7|Carretera a El Salvador, Santa Catarina Pinula #7|14.571801|-90.485950|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|8|Carretera a El Salvador, Santa Catarina Pinula #8|14.572129|-90.486370|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|9|Carretera a El Salvador, Santa Catarina Pinula #9|14.573201|-90.486150|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|10|Carretera a El Salvador, Santa Catarina Pinula #10|14.573654|-90.484342|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|11|Carretera a El Salvador, Santa Catarina Pinula #11|14.574294|-90.483472|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|12|Carretera a El Salvador, Santa Catarina Pinula #12|14.574955|-90.483188|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|13|Carretera a El Salvador, Santa Catarina Pinula #13|14.579115|-90.482227|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|14|Carretera a El Salvador, Santa Catarina Pinula #14|14.579617|-90.482285|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|15|Carretera a El Salvador, Santa Catarina Pinula #15|14.580110|-90.482685|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|16|Carretera a El Salvador, Ciudad de Guatemala #16|14.580263|-90.483323|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|17|Boulevard Los Próceres, Ciudad de Guatemala #17|14.579627|-90.484146|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|18|Boulevard Los Próceres, Ciudad de Guatemala #18|14.578380|-90.484332|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|19|Boulevard Los Próceres, Ciudad de Guatemala #19|14.577796|-90.484979|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|20|Boulevard Los Próceres, Ciudad de Guatemala #20|14.577734|-90.485706|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|21|Boulevard Los Próceres, Ciudad de Guatemala #21|14.577947|-90.486169|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|22|Boulevard Los Próceres, Ciudad de Guatemala #22|14.578858|-90.486839|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|23|Boulevard Los Próceres, Ciudad de Guatemala #23|14.579142|-90.487153|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|24|Boulevard Los Próceres, Ciudad de Guatemala #24|14.579297|-90.487858|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|25|Boulevard Los Próceres, Ciudad de Guatemala #25|14.578504|-90.488864|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|26|Boulevard Los Próceres, Ciudad de Guatemala #26|14.577306|-90.489245|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|27|Boulevard Los Próceres, Ciudad de Guatemala #27|14.577040|-90.489641|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|28|Boulevard Los Próceres, Ciudad de Guatemala #28|14.577025|-90.490288|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
CIUDAD|29|Boulevard Los Próceres, Ciudad de Guatemala #29|14.578612|-90.492396|1500.0|intermedio|0.0,0.5,0.2,0.6,0.1
